# ANNOTATIONS
uid,text,annotation_type,start_offset,end_offset,color,source,confidence
g1,"In this minireview, we explore the complexity of PD and propose a systems-based approach, organizing the available information around cellular disease hallmarks.",Успешная цель,359,521,#4CAF50,file,0.88
g2,"We encourage our peers to adopt this cell-based view with the aim of improving communication in interdisciplinary research endeavors targeting the molecular events, modulatory cell-to-cell signaling pathways and emerging clinical phenotypes related to PD.",Успешная цель,522,776,#4CAF50,file,0.80
g3,"In this review, we discuss Parkinson's disease in the global sense of the term (PD), including IPD and genetically or environmentally induced forms of parkinsonism.",Успешная цель,810,975,#4CAF50,file,0.82
g4,"we focus on the cellular hallmarks of PD, and discuss strategies for understanding the relationships between these cellular traits, molecular factors, and clinical traits.",Успешная цель,1598,1768,#4CAF50,file,0.85
g5,"It is tempting to speculate that the search for the origin and effective treatment of this disease will continue to add complexity to the scientific literature.",Не успешная цель,1060,1222,#F44336,file,0.78
g6,"we anticipate otherwise: the new generation of PD researchers will be practicing a dramatically different type of science than PD researchers from the old school.",Не успешная цель,1250,1415,#F44336,file,0.72
g7,"The fundamental conceptual change required to progress efficiently from this point will be to develop PD research into a more exact science in terms of mathematical concepts.",Не успешная цель,1430,1601,#F44336,file,0.75
g8,"The complex relationships between molecular, cellular and clinical traits will need to be explained in an intelligible way, in terms of a small number of underlying principles.",Не успешная цель,1602,1776,#F44336,file,0.74
g9,"the chronology and mechanisms of cell type-specific and PD subtype-specific cellular dysfunction remain to be elucidated.",Не успешная цель,4580,4701,#F44336,file,0.90
g10,"it is likely that the respective initial tipping point of disease progression is caused by a PD subtype-specific process.",Не успешная цель,4702,4822,#F44336,file,0.68
g11,"it is also likely that multiple hits on different cellular targets may hasten the emergence of higher-scale organic dysfunction.",Не успешная цель,4823,4949,#F44336,file,0.65
g12,"This hypothesis states that PD could have its origin in the bulbus olfactorius, in the motor nucleus of the vagal nerve, or at a strictly peripheral site.",Не успешная цель,5010,5167,#F44336,file,0.72
g13,"it remains to be seen whether this ascending spread of the disease is related to a-synuclein or other factors.",Не успешная цель,5280,5390,#F44336,file,0.92
g14,"it is not well understood why mitochondrial dysfunction takes such a center stage in PD.",Не успешная цель,6820,6908,#F44336,file,0.90
g15,"It has been speculated that these physiological cellular characteristics could potentially explain the selective local degeneration of both DA and non-DA cells in PD.",Не успешная цель,7310,7476,#F44336,file,0.78
g16,"It is likely that many of these processes are directly or indirectly involved in PD pathogenesis, even though it is not clear whether they are causative or consequential.",Не успешная цель,7810,7980,#F44336,file,0.75
g17,"it is not clear whether they are causative or consequential.",Не успешная цель,7921,7980,#F44336,file,0.88
g18,"Many efforts have been made to identify mitochondrial DNA mutations as a potential causal factor in PD.",Не успешная цель,8020,8123,#F44336,file,0.92
g19,"Their precise mechanisms of action remain to be understood.",Не успешная цель,8980,9039,#F44336,file,0.93
g20,"Potential chelation therapies are currently under development.",Не успешная цель,9180,9241,#F44336,file,0.70
g21,"Neither the complex etiology of PD nor its relationship with neuroinflammation are yet fully understood.",Не успешная цель,9380,9484,#F44336,file,0.90
g22,"we believe that important new developments will come from more holistic, systems-based approaches that aim to understand the transfer functions between molecular, cellular, intercellular and high-level pathogenic events.",Не успешная цель,10060,10275,#F44336,file,0.72
g23,"The challenge is to understand the key factors in each case, and to bring this concept to the level of personalized medicine.",Не успешная цель,10276,10399,#F44336,file,0.80
g24,"we believe that neuroinflammation is at least a modulator of disease progression, and that further basic research in this field is needed to form the basis for future developments that target inflammatory pathways for disease-modifying therapies.",Не успешная цель,9735,9976,#F44336,file,0.78
g25,"increased efforts are required to coordinate and integrate interdisciplinary PD research.",Не успешная цель,10310,10396,#F44336,file,0.75
g26,"The ultimate aim in systems PD biomedicine is to translate mechanistic insights into clinical applications, and to use these to improve patient quality of life.",Не успешная цель,10397,10558,#F44336,file,0.80
g27,"One important challenge is the need to develop theoretical models that are able to accurately represent the pathogenesis of PD.",Не успешная цель,10559,10685,#F44336,file,0.82
g28,"We believe that such models will help interdisciplinary cooperation by helping to structure both the interdisciplinary learning process and the formulation of testable key hypotheses.",Не успешная цель,10686,10866,#F44336,file,0.70
g29,"Adequate multiple-scale models, aiming to bring PD research to a more integrated level, should therefore aim to understand the subsystem properties that connect the scales and to incorporate information about as many manageable factors as possible.",Не успешная цель,11050,11295,#F44336,file,0.76
g30,"A major challenge in the experimental analysis of multifactorial diseases is the extensive phenotypic buffering driven by network robustness.",Не успешная цель,11500,11640,#F44336,file,0.72
g31,"The main challenge will be to understand the transfer functions that connect the multiple scales involved in PD pathogenesis.",Не успешная цель,11700,11824,#F44336,file,0.85
g32,"it will be crucial to develop noninvasive experimental approaches for time-resolved analyses in experimental models.",Не успешная цель,11950,12065,#F44336,file,0.80
g33,"we believe that light microscopy applications in systems biology will be a major source of data in time-resolved multifactorial single-cell analysis.",Не успешная цель,12066,12215,#F44336,file,0.72
g34,"More short-term goals include improved human cell culture models for genetic and pharmacological screening approaches, and the development of more efficient differentiation methods for patient-derived induced pluripotent stem cells, as well as improved animal models for translational research.",Не успешная цель,12580,12865,#F44336,file,0.77
g35,"regenerative medicine aiming to restore dopamine levels in the striatum offers transient relief from at least some clinical symptoms.",Не успешная цель,12900,13032,#F44336,file,0.65
g36,"we believe that systems approaches will allow for the development of increasingly sustainable and personalized disease-modifying therapies.",Не успешная цель,13033,13172,#F44336,file,0.73
g37,"causative treatment approaches for PD have not yet become available, and both motor and nonmotor symptoms continue to interfere with patient quality of life.",Не успешная цель,13280,13438,#F44336,file,0.96
g38,"it is crucial to define the signals exchanged between various cell types involved in the disease, and it is important to understand the effects of those signals on the integrated circuits of each of those cell types.",Не успешная цель,13560,13773,#F44336,file,0.78
g39,"it will be crucial to reach a level of mathematical clarity with regard to pathogenesis mechanisms, integrating the conceptual structure of systems theory and the logical coherence of neuroscience.",Не успешная цель,13774,13968,#F44336,file,0.82
s1,"We foresee that PD research will evolve to be an increasingly exact science, in which the growing myriad of measurable phenotypic traits will be understood as manifestations of a small set of key principles.",Фрагмент ведёт к успеху,13969,14174,#81C784,file,0.78
s2,"Indeed, many cellular hallmarks have been found to occur in both PD and IPD.",Фрагмент ведёт к успеху,976,1051,#81C784,file,0.75
s3,"PD research has evolved into a very mature research field, which has developed an arsenal of successfully applied symptomatic treatments.",Фрагмент ведёт к успеху,13200,13340,#81C784,file,0.78
s4,"The tremendous complexity of the disease is increased by a nonlinear progression of the pathogenesis between molecular, cellular and organic systems.",Фрагмент ведёт к неуспеху,210,358,#EF9A9A,file,0.80
s5,"The approaches that have driven the development of these treatments have been practice-oriented and often pragmatic.",Фрагмент ведёт к неуспеху,1416,1530,#EF9A9A,file,0.70
s6,"incomplete penetrance, variable expression and phenocopies often pose problems in assessing whether PD is caused solely by genetic susceptibility or is modified by environmental factors.",Фрагмент ведёт к неуспеху,3940,4122,#EF9A9A,file,0.78
s7,"Correlations between the represented cellular phenotypes and disease progression are well established. In contrast, the chronology and mechanisms of cell type-specific and PD subtype-specific cellular dysfunction remain to be elucidated.",Фрагмент ведёт к неуспеху,4510,4701,#EF9A9A,file,0.82
s8,"Although PD pathogenesis has been associated with different cellular dysfunctions, it is likely that the respective initial tipping point of disease progression is caused by a PD subtype-specific process.",Фрагмент ведёт к неуспеху,4702,4900,#EF9A9A,file,0.68
s9,"However, it remains to be seen whether this ascending spread of the disease is related to a-synuclein or other factors.",Фрагмент ведёт к неуспеху,5270,5390,#EF9A9A,file,0.88
s10,"Despite all the progress made in understanding mitochondrial biology and its role in controlling apoptosis, it is not well understood why mitochondrial dysfunction takes such a center stage in PD.",Фрагмент ведёт к неуспеху,6820,7015,#EF9A9A,file,0.88
s11,"DA neurons have extremely long projections from the SN into the striatum, are unmyelinated, and are characterized by a high degree of arborization and a high number of synapses.",Фрагмент ведёт к неуспеху,7050,7225,#EF9A9A,file,0.72
s12,"Thus far, these efforts have not yielded clear answers, but it has been observed that neurons of patients with PD have an unusually high rate of mitochondrial DNA deletions.",Фрагмент ведёт к неуспеху,8124,8295,#EF9A9A,file,0.93
s13,"One of the biggest challenges in the analysis of mitochondrial DNA mutations is heteroplasmy-the fact that each individual cell can contain hundreds of mitochondria, and not all of them will carry the same mutation.",Фрагмент ведёт к неуспеху,8296,8508,#EF9A9A,file,0.85
s14,"Their precise mechanisms of action remain to be understood.",Фрагмент ведёт к неуспеху,8980,9039,#EF9A9A,file,0.93
s15,"not only iron but also other redox metals, such as copper, and nonredox metals, such as zinc, have also been reported to be involved in oxidative stress in the context of age-related neurodegenerative diseases.",Фрагмент ведёт к неуспеху,9040,9242,#EF9A9A,file,0.71
s16,"It remains unclear, however, whether neuroinflammation is purely a side effect of PD, or whether it plays a more causal role in the pathogenesis.",Фрагмент ведёт к неуспеху,9485,9630,#EF9A9A,file,0.85
s17,"An oversimplified reductionist model that ignores these intercellular interactions could serve to complicate rather than facilitate the development of disease-modifying therapies.",Фрагмент ведёт к неуспеху,10100,10275,#EF9A9A,file,0.74
s18,"the heterogeneous disease progression observed from patient to patient cannot be understood with oversimplified reductionist views.",Фрагмент ведёт к неуспеху,10305,10435,#EF9A9A,file,0.78
s19,"neuroscience research based on molecular and cellular biology has added further layers of complexity to our understanding of PD. In turn, increased efforts are required to coordinate and integrate interdisciplinary PD research.",Фрагмент ведёт к неуспеху,10220,10396,#EF9A9A,file,0.75
s20,"a multifactorial disease such as PD, whose progression is believed to be influenced by the collective action of several genes and environmental factors, cannot be adequately represented by a simple model.",Фрагмент ведёт к неуспеху,10867,11076,#EF9A9A,file,0.83
s21,"The multifactorial nature renders making predictions related to onset and progression a very challenging task.",Фрагмент ведёт к неуспеху,11077,11183,#EF9A9A,file,0.82
s22,"Preparing for an integrated systems-level understanding of PD is now within reach, but remains an extremely ambitious goal.",Фрагмент ведёт к неуспеху,12450,12572,#EF9A9A,file,0.90
s23,"In ongoing projects, the integration of high-dimensional and nonlinear data is already creating an interesting challenge for data interpretation, and stresses the urgent need to extend the application of systems theory to PD research.",Фрагмент ведёт к неуспеху,12866,13098,#EF9A9A,file,0.76
s24,"the current lack of PD subtype-specific therapies, however, makes the use of such genetic testing disputable.",Фрагмент ведёт к неуспеху,12320,12430,#EF9A9A,file,0.82
s25,"Although regenerative medicine aiming to restore dopamine levels in the striatum offers transient relief from at least some clinical symptoms, we believe that systems approaches will allow for the development of increasingly sustainable and personalized disease-modifying therapies.",Фрагмент ведёт к неуспеху,12900,13172,#EF9A9A,file,0.72
s26,"This fact highlights the complexity of this disease, and stresses the need for an intelligible integration of findings from 200 years of PD research.",Фрагмент ведёт к неуспеху,13439,13560,#EF9A9A,file,0.78
s27,"Only a few research fields in translational medicine are more advanced than PD research and hence can serve as role models.",Фрагмент ведёт к неуспеху,13440,13560,#EF9A9A,file,0.68
s28,"Treatment of PD is currently symptomatic, and essentially involves substituting dopamine, or suppressing pathological neuronal oscillations via deep brain stimulation.",Фрагмент ведёт к неуспеху,1053,1218,#EF9A9A,file,0.90
s29,"The exact role of environmental factors in the pathogenesis of PD remains elusive.",Фрагмент ведёт к неуспеху,4320,4402,#EF9A9A,file,0.88
s30,"Because of the multitude of relevant cellular phenotypes in PD, and the need to understand causality in cellular pathogenesis, we believe that light microscopy applications in systems biology will be a major source of data in time-resolved multifactorial single-cell analysis.",Фрагмент ведёт к неуспеху,11900,12100,#EF9A9A,file,0.70

# RELATIONS
relation_uid,source_uid,target_uid,relation_type
r1,s1,g1,ведёт к
r2,s4,g1,ведёт к
r3,s2,g3,ведёт к
r4,s2,g4,ведёт к
r5,s3,g2,ведёт к
r6,s3,g4,ведёт к
r7,s4,g5,ведёт к
r8,s4,g7,ведёт к
r9,s4,g8,ведёт к
r10,s5,g6,ведёт к
r11,s5,g7,ведёт к
r12,s6,g7,ведёт к
r13,s6,g8,ведёт к
r14,s7,g9,ведёт к
r15,s8,g10,ведёт к
r16,s8,g11,ведёт к
r17,s9,g12,ведёт к
r18,s9,g13,ведёт к
r19,s10,g14,ведёт к
r20,s11,g15,ведёт к
r21,s12,g18,ведёт к
r22,s13,g18,ведёт к
r23,s14,g19,ведёт к
r24,s15,g20,ведёт к
r25,s16,g21,ведёт к
r26,s16,g24,ведёт к
r27,s17,g22,ведёт к
r28,s17,g23,ведёт к
r29,s18,g23,ведёт к
r30,s18,g25,ведёт к
r31,s19,g25,ведёт к
r32,s19,g29,ведёт к
r33,s20,g27,ведёт к
r34,s20,g29,ведёт к
r35,s20,g31,ведёт к
r36,s21,g27,ведёт к
r37,s21,g30,ведёт к
r38,s21,g31,ведёт к
r39,s22,g26,ведёт к
r40,s22,g27,ведёт к
r41,s22,g28,ведёт к
r42,s22,g31,ведёт к
r43,s23,g32,ведёт к
r44,s23,g33,ведёт к
r45,s23,g34,ведёт к
r46,s24,g34,ведёт к
r47,s24,g36,ведёт к
r48,s25,g35,ведёт к
r49,s25,g36,ведёт к
r50,s26,g37,ведёт к
r51,s27,g38,ведёт к
r52,s27,g39,ведёт к
r53,s28,g37,ведёт к
r54,s28,g26,ведёт к
r55,s29,g25,ведёт к
r56,s30,g33,ведёт к
r57,s14,g14,ведёт к
r58,s20,g8,ведёт к
r59,s22,g36,ведёт к
r60,s11,g14,ведёт к
r61,s4,g22,ведёт к
r62,s16,g21,ведёт к
